Year,ST,STATE,TotalPopulation,WorkForce,Employed,EmployedPercent,Unemployed,UnemployedPercent,H_MEAN,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90
2003,WA,Washington,"61,04,115",3127408,2895865,92.5963289727,231543,7.40367102725,19.04,8.07,10.46,15.66,23.61,34.02
2003,WV,West Virginia,"18,12,295",786558,738993,93.9527663567,47565,6.04723364329,14.20,6.24,7.66,11.16,17.74,25.29
2003,WI,Wisconsin,"54,79,203",3053648,2879781,94.3062527181,173867,5.69374728194,16.34,7.27,9.35,13.31,19.95,28.13
2003,WY,Wyoming,"5,03,453",273621,261970,95.7419203935,11651,4.25807960646,15.00,6.48,8.27,12.33,19.04,26.58
2003,PR,Puerto Rico,"38,26,095",1345789,1184591,88.0220450606,161198,11.9779549394,10.41,5.80,6.39,7.92,11.81,17.58
2004,AL,Alabama,"45,30,729",2136463,2014892,94.3097072123,121571,5.69029278766,15.19,6.41,8.13,11.76,18.48,27.20
2004,AK,Alaska,"6,59,286",336742,311644,92.546816257,25098,7.45318374304,19.90,8.72,11.40,16.84,25.06,34.34
2004,AZ,Arizona,"56,52,404",2796272,2655430,94.9632224619,140842,5.03677753809,16.60,6.83,8.95,13.13,19.99,30.06
2004,AR,Arkansas,"27,49,686",1300325,1226126,94.2938111626,74199,5.70618883741,13.95,6.42,8.06,11.25,16.72,24.05
2004,CA,California,"3,55,74,576",17383630,16303995,93.789358149,1079635,6.21064185098,19.96,7.78,9.66,15.36,25.04,37.87
2004,CO,Colorado,"45,75,013",2532369,2393564,94.5187687892,138805,5.48123121078,18.95,7.68,10.27,15.26,23.13,34.61
2004,CT,Connecticut,"34,96,094",1774201,1686216,95.0408662829,87985,4.95913371709,21.02,8.40,11.18,16.88,25.85,37.40
2004,DE,Delaware,"8,30,803",420383,403599,96.0074503488,16784,3.99254965115,18.57,7.52,9.81,14.63,22.90,33.51
2004,FL,Florida,"1,74,15,318",8440430,8049905,95.3731622678,390525,4.6268377322,16.02,6.71,8.60,12.36,19.12,28.44
2004,GA,Georgia,"87,69,252",4451804,4239067,95.2213304988,212737,4.77866950117,17.15,6.78,9.00,13.29,20.80,31.28
2004,HI,Hawaii,"12,73,569",610913,590157,96.6024622164,20756,3.39753778361,17.45,7.23,9.69,14.07,21.34,31.67
2004,ID,Idaho,"13,91,802",703065,668443,95.0755620035,34622,4.92443799649,15.55,6.73,8.69,12.54,19.37,27.13
2004,IL,Illinois,"1,25,89,773",6325448,5933128,93.7977515585,392320,6.20224844153,18.44,6.94,9.38,14.41,22.99,33.95
2004,IN,Indiana,"62,33,007",3167810,2998076,94.6419134986,169734,5.3580865014,16.13,7.02,9.19,13.11,19.97,27.79
2004,IA,Iowa,"29,53,635",1601796,1529765,95.5031102587,72031,4.49688974127,15.19,6.78,8.88,12.53,18.34,26.07
2004,KS,Kansas,"27,34,373",1463720,1383871,94.5447899872,79849,5.45521001284,16.11,6.90,8.89,12.80,19.68,28.49
2004,KY,Kentucky,"41,46,101",1963883,1857821,94.5993727732,106062,5.40062722677,15.35,6.73,8.73,12.49,18.59,26.61
2004,LA,Louisiana,"45,52,238",2037185,1916539,94.0778083483,120646,5.92219165172,14.90,6.20,7.74,11.82,18.48,26.68
2004,ME,Maine,"13,13,688",685966,654153,95.3623065866,31813,4.63769341338,15.84,7.42,9.43,12.98,19.14,26.76
2004,MD,Maryland,"55,46,935",2889328,2766478,95.7481462818,122850,4.25185371823,19.62,7.46,10.17,15.59,24.38,37.20
2004,MA,Massachusetts,"64,12,281",3395512,3220833,94.855591734,174679,5.14440826597,21.46,8.60,11.25,17.00,26.52,39.60
2004,MI,Michigan,"1,00,55,315",5062385,4705596,92.9521559502,356789,7.04784404979,18.68,7.36,9.91,14.91,23.84,33.92
2004,MN,Minnesota,"50,87,713",2880439,2745621,95.3195328906,134818,4.68046710935,18.94,7.77,10.38,15.34,22.94,33.67
2004,MS,Mississippi,"28,89,010",1313106,1232189,93.8377404414,80917,6.16225955863,13.55,6.24,7.78,10.97,16.17,23.21
2004,MO,Missouri,"57,47,741",3015651,2838875,94.1380484678,176776,5.86195153219,16.41,6.92,8.86,12.85,20.07,29.08
2004,MT,Montana,"9,30,009",480278,457424,95.2415059611,22854,4.75849403887,14.27,6.51,8.20,11.62,17.66,25.27
2004,NE,Nebraska,"17,49,370",969990,932516,96.1366612027,37474,3.86333879731,15.71,7.02,9.04,12.57,18.87,27.30
2004,NV,Nevada,"23,46,222",1177637,1126946,95.6955326641,50691,4.30446733586,16.38,7.01,9.21,13.13,19.99,28.59
2004,NH,New Hampshire,"12,90,121",716184,689150,96.2252717179,27034,3.77472828212,17.67,7.74,9.99,14.00,20.97,31.09
2004,NJ,New Jersey,"86,34,561",4349172,4138832,95.1636771321,210340,4.83632286789,20.31,7.44,10.21,16.08,25.45,38.54
2004,NM,New Mexico,"19,03,808",902267,852614,94.4968617937,49653,5.50313820632,15.74,6.43,8.24,12.20,19.26,28.80
2004,NY,New York,"1,91,71,567",9355964,8812628,94.1926240845,543336,5.80737591551,20.69,7.37,10.22,16.03,25.60,39.60
2004,NC,North Carolina,"85,53,152",4253135,4019812,94.5140937215,233323,5.48590627855,16.33,7.05,9.02,12.83,19.36,28.37
2004,ND,North Dakota,"6,44,705",352467,340403,96.5772682265,12064,3.42273177347,14.51,6.65,8.47,11.77,17.51,25.23
2004,OH,Ohio,"1,14,52,251",5870487,5502445,93.7306393831,368042,6.26936061693,17.10,7.04,9.37,13.83,21.09,29.92
2004,OK,Oklahoma,"35,25,233",1689615,1607427,95.1356965936,82188,4.8643034064,14.87,6.44,8.12,11.72,17.87,26.33
2004,OR,Oregon,"35,69,463",1838115,1703707,92.6877262848,134408,7.31227371519,17.48,7.95,9.86,14.22,21.22,30.97
2004,PA,Pennsylvania,"1,24,10,722",6213786,5877001,94.5800354245,336785,5.41996457554,17.20,6.82,9.14,13.67,21.10,31.51
2004,RI,Rhode Island,"10,74,579",558690,529894,94.8457999964,28796,5.15420000358,18.32,7.67,9.95,14.73,22.34,33.07
2004,SC,South Carolina,"42,10,921",2033313,1894140,93.1553577831,139173,6.84464221691,15.27,6.68,8.59,12.23,18.21,26.74
2004,SD,South Dakota,"7,70,396",427667,411767,96.2821541059,15900,3.71784589412,13.83,6.85,8.48,11.38,16.18,23.31
2004,TN,Tennessee,"59,10,809",2878742,2725112,94.6632938971,153630,5.33670610287,15.60,6.85,8.82,12.51,18.62,27.07
2004,TX,Texas,"2,23,94,023",10992387,10338495,94.0514103079,653892,5.94858969212,16.76,6.47,8.40,12.72,20.46,31.31
2004,UT,Utah,"24,01,580",1231162,1169796,95.0156031456,61366,4.98439685435,16.21,7.11,9.00,12.69,19.62,28.40
2004,VT,Vermont,"6,19,920",347671,334895,96.325261526,12776,3.67473847402,16.52,7.87,9.80,13.43,19.62,27.63
2004,VA,Virginia,"74,75,575",3795257,3650277,96.1799688401,144980,3.82003115995,18.47,7.08,9.33,14.15,22.64,35.68
2004,WA,Washington,"61,78,645",3197105,2996802,93.7348632591,200303,6.2651367409,19.44,8.27,10.65,15.92,24.19,34.79
2004,WV,West Virginia,"18,16,438",783673,741897,94.6692051404,41776,5.33079485959,14.54,6.26,7.82,11.39,18.16,25.98
2004,WI,Wisconsin,"55,14,026",3034590,2882068,94.9738844457,152522,5.02611555433,16.77,7.34,9.62,13.72,20.49,28.65
2004,WY,Wyoming,"5,09,106",274798,264324,96.1884729874,10474,3.81152701257,15.47,6.63,8.60,12.72,19.67,27.05
2004,PR,Puerto Rico,"38,26,878",1347049,1204536,89.4203551615,142513,10.5796448385,10.38,5.74,6.33,7.81,11.67,17.56
